NOME	REGIME	ANO	NÚMERO	CURSO
 Murilo Fogaca	normal	3	5272	MKT
Diogo Araujo	normal	3	4683	EI
Joao Lucas Souza	normal	2	5477	GI
Alice Monteiro	normal	3	2985	GE
Isabel Ramos	normal	2	3637	EE
Nathan Cavalcanti	normal	3	6396	MKT
 Daniela Castro	normal	1	2744	EE
Joao Lucas da Mota	normal	2	3847	GI
Marina Castro	normal	2	2033	EI
Camila Rodrigues	normal	3	3953	EI
Otavio Duarte	normal	1	6723	EC
Nathan Cardoso	normal	2	5843	EC
Gustavo Teixeira	normal	2	1352	GE
Levi Cardoso	normal	1	7489	GI
 Thales Souza	normal	1	1127	CONT
Davi Luiz Carvalho	normal	3	2424	GI
Enrico Santos	normal	1	2932	TDMO
Sophie Fernandes	normal	1	2135	GE
Pedro Henrique da Luz	normal	2	6888	EC
Diego Ribeiro	normal	3	7957	EE
Joao Vitor Nascimento	normal	3	1114	EM
Ana Clara Vieira	normal	1	7246	CONT
 Daniel Dias	normal	1	3361	TDM
Larissa Silva	normal	2	3795	EE
Sophia Costa	normal	3	7865	GE
Brenda Campos	normal	2	2964	TUR
Murilo Santos	normal	2	5419	EE
Luiz Felipe Santos	normal	2	2300	EA
Camila Pires	normal	1	7283	EE
Caua Rodrigues	normal	3	4577	TDM
Ana Luiza Lima	normal	3	2107	EI
Julia Jesus	normal	3	7111	TUR
Leticia Pinto	normal	1	1721	GE
 Luiza Santos	normal	1	5089	EA
Sofia Goncalves	normal	2	6086	EA
Davi Lucca Porto	normal	3	4119	MKT
Sarah Ferreira	normal	2	7455	GI
Anthony Ramos	normal	1	1284	EA
Caroline Novaes	normal	3	6481	GI
Henrique Ribeiro	normal	3	7373	EI
 Ana Laura Aragao	normal	3	2625	TDMO
Leonardo Nascimento	normal	1	6955	GI
Maria Julia Pereira	normal	1	4123	CONT
Clarice Campos	normal	1	2041	EI
Gabriel Barbosa	normal	1	5036	TDMO
Maria Vitoria Martins	normal	3	3908	EM
Pedro Caldeira	normal	3	3897	MKT
Julia Costela	normal	2	3984	GE
 Alicia Teixeira	normal	1	1413	EC
Larissa Moraes	normal	1	6543	TUR
Joana Silveira	normal	3	1247	GI
 Camila Cunha	normal	3	5213	EA
Valentina da Luz	normal	1	6619	EE
Maria Luiza Rocha	normal	1	3523	EI
Melissa Rodrigues	normal	1	7123	EI
Maria Julia Oliveira	normal	1	5505	TDMO
Maria Luiza Dias	normal	3	3201	EA
Ana Beatriz Barros	normal	1	3234	EC
Otavio Pires	normal	3	7203	EI
Isis Lopes	normal	3	7365	EI
 Lucca Caldeira	normal	3	5206	GE
Carlos Eduardo Porto	normal	2	3712	EA
 Ian da Paz	normal	2	6261	TDM
Joao Miguel Porto	normal	2	2229	GE
Gabriel Cardoso	normal	2	2446	TUR
Larissa Ramos	normal	1	3788	EA
Guilherme Novaes	normal	3	1226	EA
Clara Carvalho	normal	2	1552	EE
Lucas Gabriel Aragao	normal	1	3047	CONT
Rafael Pereira	normal	3	7526	EI
Camila Costa	normal	1	1499	TUR
Evelyn da Costa	normal	1	4847	EE
Pietro Goncalves	normal	2	4551	GI
 Ana Beatriz Moura	normal	2	7095	EM
Pedro Lucas Carvalho	normal	1	1063	TUR
Luiz Otavio Porto	normal	2	3454	GI
Gabrielly Campos	normal	1	7109	GI
Bruna Sales	normal	3	6457	EM
Isis Costela	normal	1	4346	EE
Miguel Rodrigues	normal	1	4188	TDM
Rebeca Silveira	normal	1	5322	MKT
Eduarda Nascimento	normal	2	4656	EA
 Anthony Nogueira	normal	2	6080	GE
Luiz Gustavo Rodrigues	normal	2	2304	TDM
 Gabriel Costela	normal	1	1498	EM
Davi Lucca Duarte	normal	2	6014	MKT
Rafaela Pires	normal	3	3260	EI
Luna Martins	normal	1	5154	EC
Maria Alice Barbosa	normal	1	4452	GI
Samuel Barros	normal	2	4529	EA
Melissa Nunes	normal	2	7126	GI
 Augusto Oliveira	normal	2	7956	CONT
Marcelo Nunes	normal	2	7538	EA
Theo da Mota	normal	1	7041	EE
Larissa Dias	normal	3	6475	TDMO
Caua Lima	normal	1	7819	GI
Mariane Martins	normal	3	3584	TDMO
Stephany Almeida	normal	1	4124	EM
Ian Porto	normal	1	5511	EI
Joao Miguel Vieira	normal	3	3739	EA
Igor da Mata	normal	2	2854	EM
Rebeca Rocha	normal	2	6497	TDM
Alicia Dias	normal	1	1816	CONT
Lavinia Duarte	normal	3	2495	EI
Luiz Felipe Dias	normal	3	1966	TDM
 Alana Correia	normal	2	7456	EE
Davi Lucca Barros	normal	1	3614	EI
Maria Vitoria Sales	normal	2	7647	CONT
 Pedro Henrique Azevedo	normal	1	4196	EA
Daniela Santos	normal	3	6222	GE
Gabrielly Araujo	normal	1	7588	CONT
Fernanda Nascimento	normal	1	4697	GE
 Marcos Vinicius Martins	normal	2	1208	MKT
 Milena Sales	normal	3	5378	EC
Joao Guilherme da Rosa	normal	1	6097	EM
Joao Miguel da Luz	normal	3	6270	EE
Yasmin Viana	normal	2	1730	GE
Gabriel Pires	normal	3	6105	TDMO
Leandro Silva	normal	1	7856	EI
 Juan Ferreira	normal	3	1113	MKT
Giovanna Pinto	normal	2	6285	MKT
 Marcela Teixeira	normal	2	4796	TDM
 Joao Felipe Lopes	normal	2	5037	GI
Carolina Cunha	normal	1	4605	CONT
 Milena Fogaca	normal	3	5443	EI
 Otavio Martins	normal	3	7154	CONT
Heitor Cavalcanti	normal	2	4590	GI
Lorena Pinto	normal	2	7891	TUR
Julia Moraes	normal	3	3423	GI
Isabella Oliveira	normal	1	4532	EI
Rafael Silveira	normal	2	3408	MKT
 Luiz Otavio Correia	normal	2	5446	EM
Yago Dias	normal	1	5438	MKT
Luiz Miguel Nunes	normal	3	1463	EA
Maria Vitoria da Rocha	normal	2	2557	GE
Joao Lucas Duarte	normal	3	4785	EI
Nicole Martins	normal	1	2356	EM
Leonardo da Rocha	normal	2	1811	EA
 Isadora Rocha	normal	1	2504	EA
Theo Correia	normal	2	3752	GI
Gustavo Henrique Martins	normal	1	3777	TDMO
Caue Costela	normal	2	6606	TDMO
Thales Campos	normal	2	7426	GE
Vitor Gabriel Farias	normal	1	6304	EA
 Bianca Cardoso	normal	1	3753	EE
Alexia Moura	normal	3	1125	TUR
Augusto Caldeira	normal	1	4849	TDMO
Andre Viana	normal	1	5955	EM
 Isaac Teixeira	normal	3	2436	EM
Yasmin Melo	normal	3	3377	MKT
Maria Clara Farias	normal	2	3080	EM
Carolina Porto	normal	1	7947	EC
Carlos Eduardo Ramos	normal	1	7913	EE
Gabriel Costa	normal	3	2131	EC
Larissa Silveira	normal	1	3294	MKT
Calebe Silveira	normal	3	7258	TDMO
Luiz Henrique Cavalcanti	normal	3	5753	TDMO
Livia Pereira	normal	3	3468	TDM
Antonio Caldeira	normal	2	4135	GI
Ana Sophia Ramos	normal	1	5098	MKT
Eduardo Rodrigues	normal	3	4994	MKT
Leonardo Lima	normal	2	4676	MKT
Olivia Rocha	normal	1	7644	EA
Luiz Felipe das Neves	normal	2	6733	EC
Diogo Viana	normal	2	1502	EM
Marcos Vinicius Almeida	normal	2	5090	MKT
Lorenzo Carvalho	normal	3	4730	TUR
Esther Nunes	normal	2	6775	TDMO
Lucas Barros	normal	1	4670	TUR
Maria Cecilia Lopes	normal	2	3784	GE
Matheus Pereira	normal	3	7923	GE
Luiz Felipe Barros	normal	3	6899	EI
Amanda Pereira	normal	3	7866	TDMO
Luigi Azevedo	normal	3	6847	EM
Heloisa Pereira	normal	3	6920	TDMO
Catarina da Rocha	normal	1	5287	EI
Ana Vitoria Sales	normal	3	7559	TUR
 Maysa Nunes	normal	2	3742	MKT
Emanuella da Paz	normal	2	1698	GI
Matheus Viana	normal	3	1184	TDMO
Yasmin Novaes	normal	1	3676	TDM
Caua Nogueira	normal	3	2114	EA
Esther Teixeira	normal	1	1637	TDM
Nathan Novaes	normal	3	2945	GI
Ana Beatriz Dias	normal	1	2429	EM
Carlos Eduardo Oliveira	normal	1	6777	GI
Luiz Felipe Nunes	normal	2	4030	EC
Davi da Mata	normal	1	3573	GI
Ian Lopes	normal	3	3842	EI
Benjamin Novaes	normal	1	4133	GE
Benicio Farias	normal	3	2255	EI
 Catarina Fernandes	normal	1	6302	GE
Leandro da Mata	normal	1	7886	TDMO
Maria Fernanda Pires	normal	2	6536	TDMO
 Maria Alice Cardoso	normal	2	6970	TDM
Davi Lucca Fernandes	normal	2	3887	GI
Lucca Moura	normal	2	1562	GI
 Renan Porto	normal	1	5140	EE
 Laura Novaes	normal	1	1774	EM
Daniela Lima	normal	1	4845	GE
 Larissa Costela	normal	2	6260	CONT
Yasmin Fogaca	normal	3	1581	MKT
Joao Guilherme Barros	normal	1	1761	EA
 Maria Eduarda Almeida	normal	1	2173	EA
Marcos Vinicius Rocha	normal	1	7883	GE
 Sophie Costa	normal	2	3492	TDMO
Gustavo Pires	normal	2	4836	EI
Joao Mendes	normal	2	4342	EI
Rafaela Alves	normal	3	4485	TDMO
Valentina Mendes	normal	3	1062	EC
Livia Vieira	normal	3	2270	EE
Emanuella Silveira	normal	2	7019	EC
Vinicius Rocha	normal	1	2893	EM
 Bianca da Paz	normal	3	6091	CONT
Nina Fogaca	normal	1	6372	EI
Maysa Dias	normal	3	1112	GI
Maria Sophia Carvalho	normal	1	2460	EE
Luna Farias	normal	2	5073	EM
Ana Clara Castro	normal	2	7466	EI
Renan Castro	normal	1	7608	EA
 Maria Luiza Goncalves	normal	3	3759	CONT
Joao Gabriel Rezende	normal	1	1910	TUR
Noah Mendes	normal	3	7427	TDMO
Sabrina Lima	normal	3	7281	TDMO
Joao Lucas Ramos	normal	1	2819	TDMO
Antonio Castro	normal	1	4360	GI
Arthur Mendes	normal	3	5509	GI
Pedro Jesus	trabalhador-estudante	2	5871	EE
Clara Cavalcanti	trabalhador-estudante	3	7614	TUR
Sofia Lima	trabalhador-estudante	2	6757	GE
Heloisa Barbosa	trabalhador-estudante	1	2075	MKT
Rodrigo Barbosa	trabalhador-estudante	1	3050	EI
Vitoria da Conceicao	trabalhador-estudante	3	4486	EM
 Marina Oliveira	trabalhador-estudante	1	7560	TDM
Pietro da Paz	trabalhador-estudante	1	5136	EE
Juliana Rodrigues	trabalhador-estudante	1	5785	EM
Leonardo Ferreira	trabalhador-estudante	1	3985	EI
Raul Ferreira	trabalhador-estudante	3	5986	GI
 Caue Cunha	trabalhador-estudante	3	5003	TUR
Amanda Silveira	trabalhador-estudante	3	1459	GE
Leticia da Costa	trabalhador-estudante	3	7897	EE
Heloisa da Cruz	trabalhador-estudante	1	3981	EC
Diego Correia	trabalhador-estudante	3	7740	EI
Ana Mendes	trabalhador-estudante	1	7416	EA
Rodrigo Barros	trabalhador-estudante	1	1495	EI
Renan Melo	trabalhador-estudante	1	4906	EC
 Vitoria Castro	trabalhador-estudante	2	6267	TDM
 Manuela Lima	trabalhador-estudante	3	4572	GI
Stella da Rosa	trabalhador-estudante	1	1475	GI
Luiza das Neves	trabalhador-estudante	3	4550	TUR
Ana Julia Melo	trabalhador-estudante	3	6264	EC
Carlos Eduardo Cardoso	trabalhador-estudante	1	7397	CONT
Eduardo Martins	trabalhador-estudante	2	7173	EM
Marcela Carvalho	trabalhador-estudante	3	2195	EE
Leandro Rocha	trabalhador-estudante	3	1316	GI
Maria Fernanda Fogaca	trabalhador-estudante	3	4254	TDMO
 Thales Melo	trabalhador-estudante	2	4053	TUR
Carolina Barbosa	trabalhador-estudante	2	6832	EA
Francisco Rodrigues	trabalhador-estudante	3	7818	EM
 Brenda Nunes	trabalhador-estudante	1	4150	EA
Lucas Lopes	trabalhador-estudante	2	2532	GE
Antonio Novaes	trabalhador-estudante	3	5746	GI
Samuel Fogaca	trabalhador-estudante	3	6050	TDM
Maria da Mota	normal	3	6978	EC
Pedro Henrique da Mota	normal	3	2486	TDM
Joao Miguel Lopes	normal	1	2405	GE
 Matheus Correia	normal	1	2619	CONT
Stephany Melo	normal	1	5124	TDMO
Amanda Monteiro	normal	3	6360	EE
Heloisa da Costa	normal	1	6636	TDM
Davi Sales	normal	3	6938	TDM
Joao Miguel Nascimento	normal	3	2689	GE
Maria Clara Porto	normal	3	4985	EA
Barbara Almeida	normal	1	2920	EA
Eduardo Ribeiro	normal	1	3164	EE
Lais Costa	normal	2	2224	TDMO
 Rebeca Freitas	normal	2	2067	EE
Bruna Caldeira	normal	3	3031	GE
Marcelo Campos	normal	1	6189	CONT
Mariana da Mata	normal	2	4793	GI
Anthony Cavalcanti	normal	1	4728	CONT
 Diego Alves	normal	1	3022	TUR
Vinicius Nunes	Erasmus	3	5816	CONT
Alexandre da Cruz	Erasmus	3	3892	TDM
Gustavo Henrique Porto	Erasmus	1	5674	GE
Luigi Rezende	normal	3	4498	MKT
Leticia Cardoso	normal	3	2222	CONT
Guilherme Correia	normal	1	1343	TUR
Eduarda Moraes	normal	3	7267	EM
Evelyn Vieira	normal	2	6480	EC
Emilly Moreira	normal	1	6631	EM
 Joao Gabriel da Costa	normal	1	6278	MKT
Lucca Moura	normal	2	5733	GE
Joao da Mota	normal	2	2598	EE
Raquel Santos	normal	3	6659	MKT
Lavinia Alves	normal	3	5135	CONT
Cecilia Rodrigues	normal	1	2778	TDM
Cecilia Ramos	normal	2	1237	EE
Luiz Otavio Correia	normal	3	7460	EA
 Luana Azevedo	normal	1	5230	TDMO
Kevin Aragao	normal	1	5024	CONT
Valentina Teixeira	normal	2	4708	TUR
Lorenzo Fogaca	normal	1	6128	EE
Joao da Luz	normal	3	7000	CONT
Maria Sophia Pereira	normal	3	5637	GI
Eloah Lima	normal	2	3696	EI
Igor da Conceicao	normal	2	5719	EE
Laura Ramos	normal	3	3964	EA
 Joao Lucas Lima	normal	3	2479	EM
Theo Pinto	gewg	2	5303	GE
Maria Cecilia da Costa	erasmus	2	1756	TDMO
Rafaela Rodrigues	ATLETA	3	7896	EA
Vitor Barros	ATLETA	2	7584	EC
Breno Dias	NORAL	2	3700	GI
Calebe Jesus	normal	1	5974	EI
 Fernanda Barros	normal	3	1793	EI
Maria Alice das Neves	normal	3	6922	EC
Isadora Melo	normal	1	2058	EA
 Joao Miguel Peixoto	normal	2	6007	EC
Stephany Castro	normal	3	6630	EI
Benjamin da Cruz	normal	2	6362	GE
Leandro Nunes	normal	2	5739	EM
Alice Souza	normal	3	4107	EI
Alicia Silveira	normal	1	6602	MKT
 Enzo Gabriel Fernandes	normal	1	4620	EE
Emanuel Melo	normal	2	6708	EA
Joana Cunha	normal	1	3122	MKT
Laura Nogueira	normal	3	7262	EA
Lucca da Cruz	normal	1	2719	MKT
 Leticia Pires	normal	1	4071	TUR
Pedro Lucas Gomes	normal	3	7168	CONT
Melissa da Paz	Erasmus	1	4747	GI
Alexia Correia	Erasmus	1	2335	GE
Samuel da Rosa	Erasmus	2	5306	TDM
Marcos Vinicius Mendes	normal	1	4211	CONT
Emanuelly Costa	normal	3	6760	TDM
Isabelly Moura	normal	2	7689	EC
Evelyn Campos	normal	1	3297	GE
Luiz Fernando Cardoso	normal	1	1916	TDMO
 Sophia Freitas	normal	1	4300	TDM
Kevin Ribeiro	normal	1	5906	TDM
 Clarice Moreira	normal	3	6321	MKT
Alice Costela	normal	2	1842	EC
Nathan Barbosa	normal	1	7512	CONT
Esther da Rosa	normal	3	1479	EC
Isaac Nogueira	normal	1	4190	EE
Elisa Monteiro	normal	3	6485	TUR
Maria Alice Ferreira	normal	3	3899	EI
 Caue Costa	normal	2	2579	GI
Enzo da Costa	normal	3	2876	TDM
Rafael Martins	normal	3	1465	TDMO
Natalia Fernandes	normal	1	7413	EC
Helena Pinto	normal	2	6109	TDMO
 Juliana da Paz	normal	3	4086	EI
Juliana Fogaca	normal	2	5174	EI
Stephany Goncalves	normal	1	6886	GI
Nicolas Oliveira	normal	1	5647	TDM
Andre Pinto	normal	2	5541	EE
Beatriz Peixoto	normal	3	7885	EA
 Livia Aragao	normal	1	6369	GI
Emilly da Cruz	normal	1	2467	EA
Evelyn Aragao	normal	1	5969	EE
Daniela Vieira	normal	3	2164	CONT
Emanuelly da Costa	normal	3	6272	MKT
Alexia Fernandes	normal	2	6144	GI
Ana Beatriz Silveira	normal	3	6877	CONT
 Ana Costela	normal	1	5790	EA
Yasmin Nogueira	normal	3	5262	CONT
Ana Julia Vieira	normal	1	4853	EM
Bruna Correia	normal	2	7752	EE
Murilo Ribeiro	normal	1	4545	EE
Felipe Barbosa	normal	2	6100	EA
Daniel Pinto	normal	1	6214	EI
Thiago Mendes	normal	3	1585	TDMO
Paulo Fogaca	normal	2	5209	GI
Ana Julia Gomes	normal	2	1279	EM
Lara Barbosa	normal	3	3203	EA
Arthur Martins	normal	2	7205	EM
Fernanda Pires	normal	2	4472	GI
 Ana Luiza Moura	normal	2	4668	EC
Juliana Cavalcanti	normal	3	5525	TDM
 Melissa Silveira	normal	1	1347	EE
Maria Vitoria Oliveira	normal	3	4960	EE
Gustavo Henrique Correia	normal	1	6281	EC
Evelyn Porto	normal	1	6969	TDM
Barbara Cardoso	normal	3	2554	CONT
Enrico Oliveira	normal	3	4567	EE
 Levi das Neves	normal	2	2760	TDMO
Marcela Peixoto	normal	1	7188	TDM
Lucas Gabriel Carvalho	normal	1	5475	TUR
Sabrina Castro	normal	2	5561	MKT
Felipe Pinto	normal	3	1415	MKT
Gustavo Ribeiro	Erasmus	3	2455	GE
Beatriz da Luz	Erasmus	1	5401	MKT
 Arthur Souza	Erasmus	2	6477	GI
Anthony Silveira	normal	2	6017	MKT
Caua da Cunha	normal	1	2776	TDMO
Ana da Rocha	normal	2	2087	EC
Heitor da Mota	normal	3	1590	EC
Pietro Moreira	normal	3	3619	EE
 Maria Julia Sales	normal	3	6118	EM
Eduarda Caldeira	normal	1	7371	TDM
Maria Vitoria Teixeira	normal	1	3978	TDMO
Nathan Barros	normal	3	6635	MKT
Alana Melo	trabalhador-estudante	2	6076	EM
Vitor Nascimento	trabalhador-estudante	1	2484	CONT
Juliana Sales	trabalhador-estudante	2	1059	EM
Ana Vitoria Farias	trabalhador-estudante	1	3889	TDM
Henrique Duarte	trabalhador-estudante	1	1881	CONT
 Lara Moraes	trabalhador-estudante	2	7782	EC
Isabella da Cunha	trabalhador-estudante	1	5623	EE
 Luana Melo	trabalhador-estudante	2	4528	TDM
Isabella da Mata	trabalhador-estudante	1	7997	TDM
 Giovanna Pires	trabalhador-estudante	3	3902	GI
Amanda Peixoto	trabalhador-estudante	2	6512	EA
 Lucas Cardoso	trabalhador-estudante	2	2530	EI
Lorenzo da Cunha	trabalhador-estudante	1	7073	TDMO
Diogo Alves	trabalhador-estudante	1	1460	EE
Joao Vitor Cardoso	trabalhador-estudante	1	7634	MKT
Bryan Nascimento	trabalhador-estudante	2	7975	MKT
Diego Cardoso	trabalhador-estudante	2	4722	MKT
Gustavo Souza	trabalhador-estudante	1	5294	TUR
Ana Livia Teixeira	trabalhador-estudante	2	4427	EE
Evelyn Pinto	trabalhador-estudante	3	5092	EM
Alana Azevedo	trabalhador-estudante	2	4542	EI
 Paulo Caldeira	trabalhador-estudante	3	3554	GI
Emanuel Vieira	normal	2	7446	TDMO
Ana Sophia Castro	normal	2	1073	EE
Davi Lucca Rocha	normal	2	6862	EC
Levi Barbosa	normal	3	2073	TDM
Heloisa da Cunha	normal	1	5909	GE
Laura Farias	normal	1	7961	EE
Luana Caldeira	normal	2	2499	EA
Maite Peixoto	normal	3	2882	EE
Leticia da Mata	normal	1	2246	GE
Joao Gabriel da Luz	normal	1	5649	GE
Rafael Teixeira	normal	3	2220	GE
 Nicole Duarte	normal	2	5513	GE
Ana Laura Cardoso	normal	1	1719	EE
Stella Porto	normal	3	2902	MKT
Thiago Dias	normal	3	3496	MKT
Enrico Martins	normal	1	3911	CONT
 Diego Peixoto	normal	2	6525	EI
Sabrina Ramos	Erasmus	2	3840	EA
 Vitor Gabriel Pires	Erasmus	1	2334	CONT
Matheus Correia	Erasmus	2	4179	EI
Luigi Porto	Erasmus	1	4140	GE
Raquel Pinto	normal	1	4315	TDMO
 Davi Luiz Silveira	normal	3	7661	EE
 Eduardo Moreira	normal	1	4673	EE
Emanuelly Costa	normal	3	7354	GI
 Murilo Rodrigues	normal	1	6683	GI
Lucca Viana	normal	1	6490	TDM
Luiz Fernando Aragao	normal	3	4169	TUR
Eloah Peixoto	normal	3	2063	GI
Eloah Santos	normal	1	2889	TDM
Maria Julia Lopes	normal	3	7612	CONT
Lorenzo da Conceicao	normal	2	3625	EC
Alicia Nascimento	normal	1	3802	EA
Alexandre Porto	normal	1	6421	TDMO
 Ana Sophia Campos	normal	1	3156	EE
Lucas Silveira	normal	3	3598	TDMO
Anthony Monteiro	normal	1	6427	GE
 Gustavo Cavalcanti	normal	3	3575	CONT
Lucas Gabriel Correia	normal	1	2582	TDM
 Emanuelly Rezende	normal	3	2782	EC
Eduarda Teixeira	normal	1	4927	EA
Stella Alves	normal	2	3634	GI
 Gabriel Barros	dirigente-associativo	3	7359	EE
Yago Melo	normal	2	2784	CONT
Maria Luiza da Conceicao	normal	1	3225	EE
 Marcos Vinicius Castro	normal	2	6280	EI
Joao Guilherme Porto	Erasmus	2	3577	CONT
Yago Ferreira	normal	1	5300	MKT
Julia Nogueira	normal	1	7096	TDMO
Vitor Gabriel Dias	normal	2	1702	EE
Pedro Lucas Caldeira	normal	1	2801	EE
Gustavo Henrique Barros	normal	3	1782	GE
Lucas Gabriel Cunha	normal	1	1106	EI
Benjamin Costa	normal	2	6925	TDMO
Maite Goncalves	normal	3	6378	MKT
Mariane Martins	normal	3	3569	EA
Maria Luiza Ramos	normal	1	6719	EM
Livia Sales	normal	2	1473	TDMO
Joao Guilherme Barbosa	normal	1	5251	EC
Rebeca Souza	normal	1	1735	CONT
Joao Almeida	normal	2	1151	TDMO
Carlos Eduardo da Luz	normal	3	5714	EE
Joana Santos	normal	2	6430	CONT
 Leticia da Cunha	normal	2	5912	EA
 Stephany Lima	normal	2	6843	TUR
Sophia Viana	normal	1	3044	EI
Sophie Jesus	normal	1	7948	EA
 Maria Fernanda Barros	normal	1	5807	MKT
Joao Pedro Costela	normal	3	7420	EA
Julia Moura	normal	3	7565	MKT
Bianca Fogaca	normal	1	5449	TDM
 Luiz Gustavo Campos	normal	2	3010	GI
 Luiz Fernando Oliveira	normal	3	4034	EI
Sophia Vieira	normal	3	7836	GE
Helena Jesus	normal	1	3036	TUR
Raquel Araujo	normal	1	7511	TUR
 Ana Vitoria Silva	normal	3	6459	EC
Pietra Nascimento	normal	1	5238	GE
Davi Lucca Ribeiro	normal	3	2241	EC
Ana Vitoria Barros	normal	2	2351	EI
Isabel Santos	normal	2	1461	TUR
Olivia Alves	normal	2	6718	GI
Eloah Castro	normal	3	2573	TUR
Danilo Pinto	normal	3	5462	CONT
 Nicolas Alves	normal	3	4044	EA
Bernardo Pinto	normal	3	4799	EA
Leonardo Monteiro	normal	1	6891	EE
Joao Felipe Rodrigues	normal	1	1310	EI
Beatriz Costa	normal	1	2611	EE
Ana Livia Moraes	normal	2	1653	TUR
Amanda das Neves	normal	2	5059	CONT
Joao Gabriel Nunes	normal	3	6540	CONT
Luiza Cavalcanti	normal	2	6449	TDM
Luiza Santos	normal	2	4063	MKT
Natalia Vieira	normal	2	5712	EC
Bruno Freitas	normal	2	2522	EM
Francisco Gomes	normal	1	7174	EM
 Nina Aragao	normal	1	7265	CONT
Leonardo Goncalves	normal	1	6259	EC
 Cecilia das Neves	normal	3	3936	TDMO
Lucas Gabriel da Rosa	normal	2	2661	EM
Vitoria Cavalcanti	normal	2	2291	EE
Maite da Rosa	normal	1	3279	MKT
Diogo Goncalves	normal	1	7596	TDMO
Caroline Pires	normal	3	5581	TDMO
Ryan Santos	normal	3	6078	CONT
Joao Felipe Mendes	normal	1	6140	TUR
Fernando Caldeira	normal	2	5152	TDMO
Antonio da Cruz	normal	2	6150	EE
Caio Correia	normal	3	3295	EI
Yasmin Castro	normal	1	5991	EE
Joao Gabriel da Cruz	normal	3	1099	EM
Nina Carvalho	normal	1	1718	EC
Caue da Rocha	normal	2	5422	EC
 Heloisa Ramos	normal	2	4274	EE
Maria Luiza Rezende	normal	3	6807	EI
Felipe Melo	normal	3	3310	MKT
Maysa da Paz	normal	2	7927	EE
 Luiz Otavio Farias	normal	1	3029	EA
Sophia das Neves	normal	2	2687	TUR
 Giovanna Novaes	normal	2	3068	EI
 Laura Nunes	normal	3	4475	TDM
Arthur Fogaca	normal	2	5534	CONT
 Davi Lucca da Luz	normal	1	5278	GI
Maria Alice Pires	normal	2	1176	TDM
Leandro Martins	normal	3	6753	TDM
Valentina Castro	dirigente-associativo	3	1795	EA
Henrique Oliveira	normal	1	7508	TDMO
Maysa Porto	dirigente-associativo	1	1378	EE
Maria Fernanda Araujo	normal	1	6493	EC
Ana Julia Sales	dirigente-associativo	3	4659	EA
Clarice Cardoso	normal	2	7628	EC
Yago Almeida	normal	2	5052	GE
Raul Nogueira	normal	1	5551	EC
 Bernardo Martins	normal	2	7617	CONT
Evelyn Oliveira	normal	3	4154	EE
Vicente Barros	normal	2	4632	EE
Brenda Viana	normal	3	4212	MKT
Thomas Caldeira	normal	1	5267	TUR
Maria Vitoria Peixoto	normal	1	4829	EI
Vitor Caldeira	normal	3	5742	EM
Noah Pinto	normal	2	2350	TDMO
 Murilo Porto	normal	2	4176	MKT
Sofia Viana	normal	1	1506	EI
 Bernardo Pereira	normal	2	5253	EM
Daniel Duarte	normal	2	6684	CONT
Caroline Moura	normal	3	6885	EM
Rafael Farias	normal	1	7914	EE
 Heitor Moura	normal	2	5407	TDM
Julia Monteiro	normal	1	6913	TDMO
Ana das Neves	normal	1	1674	TDM
Bruno Novaes	normal	1	1714	EM
Joao Guilherme Alves	normal	1	1399	MKT
 Isabella da Costa	normal	1	6613	GI
Melissa Melo	dirigente-associativo	2	2344	EE
Davi Ribeiro	normal	1	1017	TDM
 Melissa Rodrigues	normal	2	7521	CONT
Joao Pedro Rodrigues	normal	3	1539	EA
Murilo Martins	normal	2	7821	EM
Emanuella Cunha	normal	1	5386	MKT
Davi Almeida	normal	3	5600	MKT
Marcos Vinicius da Mota	normal	1	4122	TUR
Maria Sophia Ramos	normal	2	7361	TUR
Antonio da Luz	normal	2	4705	EI
Luiz Gustavo Cunha	normal	3	6088	TDMO
Ana Laura Vieira	normal	2	6262	EM
Daniela Cavalcanti	normal	2	5924	EC
Rebeca Cardoso	normal	1	3283	CONT
Heitor Pereira	normal	3	4865	MKT
 Luiz Miguel Rocha	normal	3	3238	TDM
Barbara Fernandes	normal	1	5979	CONT
Kamilly Azevedo	normal	3	3263	EA
Catarina da Mota	normal	2	7482	MKT
Samuel Araujo	normal	3	2624	TUR
Andre da Rosa	normal	2	6141	EA
Gustavo Henrique Nascimento	normal	2	4072	EE
Lorena Moraes	normal	3	2979	EI
Pedro Henrique Oliveira	normal	1	7585	MKT
Amanda Santos	normal	2	5339	TDM
Marina Ramos	normal	3	5408	TDMO
Rafaela Rocha	normal	3	7796	EE
Gabriel Barros	normal	2	2793	MKT
Camila Rezende	normal	1	1557	EE
Lorena da Mata	normal	1	5967	CONT
Ana Melo	normal	3	1336	TUR
Eloah Monteiro	normal	2	5996	EM
Brenda da Luz	normal	3	7380	GI
Joao Miguel Goncalves	dirigente-associativo	3	1886	TDM
Maria Sophia Lima	normal	3	3514	CONT
 Daniel Nunes	normal	3	3677	GI
Marcelo da Mata	normal	3	6327	EM
Nicole Porto	normal	2	4138	EI
Yago Novaes	normal	1	4746	EM
Thomas Barros	normal	1	6966	CONT
Livia Ferreira	normal	2	6328	EI
Alicia Cavalcanti	normal	1	5261	TDM
Yasmin Rocha	normal	3	7370	EM
Davi Lucas Castro	trabalhador-estudante	3	7750	GI
